file_name,speaker,usability,xds,interval_start,interval_end,pitch_min,pitch_max,pitch_mean,pitch_sd,F0_00,F0_05,F0_10,F0_15,F0_20,F0_25,F0_30,F0_35,F0_40,F0_45,F0_50,F0_55,F0_60,F0_65,F0_70,F0_75,F0_80,F0_85,F0_90,F0_95,F0_100
85_20210120,FA1,0.,C,9.703,10.35,231.14975508519447 Hz,322.23317336812863 Hz,271.1410810341594 Hz,21.41684827246234 Hz,--undefined--,--undefined--,--undefined--,315.1817887613272,318.82746719630677,297.5310396640348,280.52724480833325,263.24638593845697,256.1316018182553,253.88528129969438,258.7400107833517,260.58148581364117,264.54811836857965,265.3526807743701,268.65348383796623,265.688673918007,263.7587513736402,261.854625976992,250.90581529410096,--undefined--,--undefined--,
85_20210120,FA1,0.,C,10.839,12.269,247.21606086567394 Hz,350.42906042432475 Hz,299.4712467514284 Hz,33.473181196561576 Hz,--undefined--,--undefined--,--undefined--,269.7681487060741,248.4622269398604,274.4567665642379,--undefined--,--undefined--,288.9538293821453,--undefined--,--undefined--,335.1895185230464,349.97373034902336,316.7210062035643,314.34196406787527,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,
85_20210120,FA1,0.,C,17.21,18.51,162.7448021241505 Hz,574.413813112308 Hz,317.978091277387 Hz,141.0109060809582 Hz,--undefined--,--undefined--,--undefined--,--undefined--,182.5440073680726,--undefined--,--undefined--,--undefined--,199.31403750838217,246.3924364535303,326.67775082679907,453.5069378775392,504.666505742136,570.0872067645231,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,
85_20210120,FA1,0.,C,20.08,21.04,100.96296358739745 Hz,406.82395927054677 Hz,226.7724884851097 Hz,70.24769078447667 Hz,--undefined--,209.38193730675394,199.73869091814785,204.5755846820989,209.92465462952018,221.485743782074,224.48672579821593,--undefined--,375.5074559596932,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,104.03120641871456,--undefined--,
85_20210120,FA1,0.,C,24.357,26.54,97.58455468432392 Hz,451.65684718813276 Hz,272.32107941255714 Hz,111.54685130827248 Hz,--undefined--,--undefined--,--undefined--,204.34944407832344,195.3312303957393,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,300.62560398612413,389.8695591359201,338.35084833091776,383.6104625227877,338.45863106243223,188.09482816610955,--undefined--,
85_20210120,FA1,0.,C,30.43,31.587,113.63737301888234 Hz,293.413025478195 Hz,233.41883548054304 Hz,56.375541899682915 Hz,--undefined--,270.7696332308423,284.6537525261435,292.44392825104126,287.3864891056351,263.4883036107306,244.0244244093677,238.9071149064817,234.40200485346483,231.086245805311,229.97839138495044,230.91825876504478,113.99787264857207,114.66486480086614,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,
85_20210120,FA1,0.,C,32.131,34.244,183.11492009699418 Hz,462.23214810623784 Hz,265.99823646827 Hz,57.94672172731277 Hz,--undefined--,--undefined--,--undefined--,--undefined--,246.20852002650645,--undefined--,231.09685772860058,238.94516902614185,275.7097716661781,--undefined--,--undefined--,--undefined--,183.75628294838643,--undefined--,246.98621775547608,249.96154043543595,--undefined--,312.820125168421,--undefined--,--undefined--,--undefined--,
85_20210120,FA1,0.,C,35.243,36.121,168.0946135196404 Hz,383.9285669790096 Hz,252.7236059919092 Hz,70.87838334230011 Hz,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,172.81128347252044,171.7836653767748,168.91786084867107,173.22548054028502,--undefined--,--undefined--,--undefined--,230.57963510507258,250.38471824451838,268.18817599285734,283.57579688986584,311.3398996315804,343.12105969126065,381.2786753594405,--undefined--,--undefined--,
85_20210120,FA1,0.,C,39.25,40.274,100.66798320468182 Hz,467.40948025061675 Hz,276.3651310433177 Hz,133.3641403420862 Hz,--undefined--,103.3085255669478,103.0306843948931,105.87446935723631,--undefined--,--undefined--,--undefined--,--undefined--,253.66059788336133,267.2527038491174,298.47340067244016,346.88158443128384,398.917341742897,444.9313882491665,459.26921919263,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,
85_20210120,FA1,0.,C,42.73,44.132,104.72127143689323 Hz,485.4853426263589 Hz,274.80277806596786 Hz,112.84040228419816 Hz,--undefined--,110.62769041210488,--undefined--,--undefined--,233.88513204806276,234.3445888287781,233.86231799479583,240.10589609927433,117.73685943355862,--undefined--,--undefined--,--undefined--,263.7386285154143,294.564570399417,340.7897879887881,432.92346294534286,484.50879456118906,--undefined--,--undefined--,--undefined--,--undefined--,
85_20210120,FA1,0.,C,46.34,48.03,170.38460317237428 Hz,397.77890169153017 Hz,299.91622613218954 Hz,48.28771035139788 Hz,--undefined--,276.6460648579817,344.7268582857686,309.68374663185534,261.8727768509108,263.27960623864107,--undefined--,--undefined--,201.24050129935415,--undefined--,--undefined--,--undefined--,313.4736268399891,382.60966857542184,358.0275209109304,312.0482867529425,302.9751676684887,301.7056639447073,297.741363872648,--undefined--,--undefined--,
85_20210120,FA1,0.,C,48.578,49.769,267.22464462752424 Hz,486.47842964510386 Hz,323.0591755252889 Hz,68.32506707396463 Hz,--undefined--,--undefined--,270.9549605202057,318.137184388048,375.70034881740924,473.16108857156115,470.4719167856647,387.77383245558843,333.0911764038491,305.4603171841956,295.6463197394405,281.4646522069205,286.31718763874215,270.50097758442666,269.194792911423,267.48481964993675,270.96952361853715,269.553924932326,--undefined--,--undefined--,--undefined--,
85_20210120,FA1,0.,C,49.94,50.966,166.34333633666924 Hz,411.96723603781027 Hz,301.26771592805335 Hz,69.22624264404837 Hz,--undefined--,184.66318123011476,168.5101458936753,--undefined--,--undefined--,250.48748995697463,259.4623288174621,--undefined--,--undefined--,--undefined--,363.6010263690733,408.4372808614264,392.9485173109549,330.2409865611041,307.8119750762221,305.29821325947773,306.3790801401227,--undefined--,--undefined--,--undefined--,--undefined--,
